degrees,latitude,longitude,timestamp
30.76,22.3046833,39.10355,2022-04-09T13:10:25.000Z
30.66,22.3046833,39.10355,2022-04-09T14:10:25.000Z
30.56,22.3047,39.1035667,2022-04-09T15:10:25.000Z
30.5,22.3046833,39.1035833,2022-04-09T16:10:25.000Z
30.42,22.3046833,39.1035667,2022-04-09T17:10:25.000Z
30.34,22.3047,39.1035667,2022-04-09T18:10:25.000Z
30.24,22.3046667,39.10355,2022-04-09T19:10:25.000Z
30.18,22.3046667,39.10355,2022-04-09T20:10:25.000Z
30.18,22.3046667,39.10355,2022-04-09T21:10:25.000Z
30.02,22.30465,39.1035667,2022-04-09T22:10:25.000Z
29.94,22.3046667,39.1035833,2022-04-09T23:10:25.000Z
29.9,22.30465,39.1035833,2022-04-10T00:10:25.000Z
29.86,22.30465,39.1035667,2022-04-10T01:10:25.000Z
29.82,22.3046667,39.1035667,2022-04-10T02:10:25.000Z
29.7,22.30465,39.1035667,2022-04-10T03:10:25.000Z
29.68,22.30465,39.1035667,2022-04-10T04:10:25.000Z
29.78,22.30465,39.1035667,2022-04-10T05:10:25.000Z
29.9,22.30465,39.1035833,2022-04-10T06:10:25.000Z
30.06,22.30465,39.1036,2022-04-10T07:10:25.000Z
30.18,22.3046667,39.1035833,2022-04-10T08:10:25.000Z
30.22,22.3046667,39.1035833,2022-04-10T09:10:25.000Z
30.32,22.30465,39.1035833,2022-04-10T10:10:25.000Z
30.44,22.3046833,39.1035833,2022-04-10T11:10:25.000Z
30.5,22.3046667,39.1035833,2022-04-10T12:10:25.000Z
30.54,22.3046667,39.1035833,2022-04-10T13:10:25.000Z
30.46,22.3047,39.1036,2022-04-10T14:10:25.000Z
30.38,22.3047333,39.1035667,2022-04-10T15:10:25.000Z
30.26,22.3047,39.10355,2022-04-10T16:10:25.000Z
30.22,22.3047167,39.1036,2022-04-10T17:10:25.000Z
30.16,22.3047,39.1035667,2022-04-10T18:10:25.000Z
30.1,22.3046833,39.1035833,2022-04-10T19:10:25.000Z
30.0,22.3047,39.1036,2022-04-10T20:10:25.000Z
