speed,direction,seasurfaceId,latitude,longitude,timestamp
1.2,165,1,22.3049167,39.1028167,2022-04-05T05:40:25.000Z
1.2,182,1,22.2863333,39.11785,2022-04-05T06:10:25.000Z
0.4,80,1,22.3047333,39.1030167,2022-04-05T06:40:25.000Z
0.8,177,1,22.30465,39.1035167,2022-04-05T07:10:25.000Z
0.0,188,1,22.30465,39.1035833,2022-04-05T07:40:25.000Z
0.0,28,1,22.3046667,39.1035833,2022-04-05T08:10:25.000Z
0.0,182,1,22.3046833,39.1035833,2022-04-05T08:40:25.000Z
0.0,91,1,22.3046667,39.1035833,2022-04-05T09:10:25.000Z
0.0,211,1,22.3046667,39.1035833,2022-04-05T09:40:25.000Z
0.0,222,1,22.3046667,39.1035833,2022-04-05T10:10:25.000Z
0.0,274,1,22.3047,39.1035833,2022-04-05T10:40:25.000Z
0.0,160,1,22.3046833,39.1035667,2022-04-05T11:10:25.000Z
0.0,165,1,22.3047,39.1035667,2022-04-05T11:40:25.000Z
0.0,91,1,22.3047,39.1035667,2022-04-05T12:10:25.000Z
0.0,68,1,22.3046667,39.1035667,2022-04-05T12:40:25.000Z
0.0,22,1,22.3046667,39.1035667,2022-04-05T13:10:25.000Z
0.0,182,1,22.3047167,39.10355,2022-04-05T13:40:25.000Z
0.0,217,1,22.3047167,39.10355,2022-04-05T14:10:25.000Z
0.0,177,1,22.3046833,39.1035667,2022-04-05T14:40:25.000Z
0.0,148,1,22.3046833,39.1035667,2022-04-05T15:10:25.000Z
0.0,137,1,22.30465,39.1036167,2022-04-05T15:40:25.000Z
0.0,234,1,22.3046667,39.1035833,2022-04-05T16:10:25.000Z
0.0,251,1,22.3047167,39.1035667,2022-04-05T16:40:25.000Z
0.0,274,1,22.3047,39.1035667,2022-04-05T17:10:25.000Z
0.0,74,1,22.3046833,39.1036167,2022-04-05T17:40:25.000Z
0.0,188,1,22.3046833,39.1035667,2022-04-05T18:10:25.000Z
0.0,5,1,22.3046667,39.1035833,2022-04-05T18:40:25.000Z
0.0,57,1,22.3046667,39.1035667,2022-04-05T19:10:25.000Z
0.0,148,1,22.3047,39.1036167,2022-04-05T19:40:25.000Z
0.0,240,1,22.3047333,39.1035833,2022-04-05T20:10:25.000Z
0.0,51,1,22.3046833,39.1036333,2022-04-05T20:40:25.000Z
0.0,320,1,22.3047167,39.1036167,2022-04-05T21:10:25.000Z
0.0,148,1,22.3047167,39.1036,2022-04-05T21:40:25.000Z
0.0,314,1,22.3047167,39.1036,2022-04-05T22:10:25.000Z
0.0,182,1,22.3047,39.1035333,2022-04-05T22:40:25.000Z
0.0,165,1,22.3046667,39.10355,2022-04-05T23:10:25.000Z
0.0,74,1,22.30465,39.1036,2022-04-05T23:40:25.000Z
0.0,205,1,22.3046833,39.1035833,2022-04-06T00:10:25.000Z
0.0,234,1,22.3046833,39.1035667,2022-04-06T00:40:25.000Z
0.0,188,1,22.3046833,39.1035667,2022-04-06T01:10:25.000Z
0.0,262,1,22.30465,39.1035833,2022-04-06T01:40:25.000Z
0.0,148,1,22.3046667,39.1035667,2022-04-06T02:10:25.000Z
0.0,148,1,22.3046667,39.1035833,2022-04-06T02:40:25.000Z
0.0,62,1,22.3046667,39.1035833,2022-04-06T03:10:25.000Z
0.0,91,1,22.30465,39.1035667,2022-04-06T03:40:25.000Z
0.0,102,1,22.30465,39.1035833,2022-04-06T04:10:25.000Z
0.0,297,1,22.30465,39.1035833,2022-04-06T04:40:25.000Z
0.0,200,1,22.3046333,39.1035833,2022-04-06T05:10:25.000Z
0.0,257,1,22.30465,39.1036,2022-04-06T05:40:25.000Z
0.0,182,1,22.30465,39.1036,2022-04-06T06:10:25.000Z
0.0,240,1,22.3046667,39.1036,2022-04-06T06:40:25.000Z
0.0,297,1,22.3046667,39.1036,2022-04-06T07:10:25.000Z
0.0,62,1,22.30465,39.1035833,2022-04-06T07:40:25.000Z
0.0,274,1,22.3046667,39.1035833,2022-04-06T08:10:25.000Z
0.0,85,1,22.3046833,39.1035833,2022-04-06T08:40:25.000Z
0.0,34,1,22.3046833,39.1035833,2022-04-06T09:10:25.000Z
0.0,251,1,22.3046667,39.1035833,2022-04-06T09:40:25.000Z
0.0,108,1,22.3046667,39.1035833,2022-04-06T10:10:25.000Z
0.0,85,1,22.3046833,39.1036,2022-04-06T10:40:25.000Z
0.0,154,1,22.3046833,39.1036,2022-04-06T11:10:25.000Z
0.0,165,1,22.3047,39.1035833,2022-04-06T11:40:25.000Z
0.0,268,1,22.3047,39.1035833,2022-04-06T12:10:25.000Z
0.0,68,1,22.3046833,39.1036,2022-04-06T12:40:25.000Z
0.0,188,1,22.3047,39.1035667,2022-04-06T13:10:25.000Z
0.0,200,1,22.3047167,39.1035667,2022-04-06T13:40:25.000Z
0.0,0,1,22.3047167,39.1035667,2022-04-06T14:10:25.000Z
0.0,131,1,22.3047167,39.1035833,2022-04-06T14:40:25.000Z
0.0,205,1,22.3047167,39.1035833,2022-04-06T15:10:25.000Z
0.0,91,1,22.3047,39.1036,2022-04-06T15:40:25.000Z
0.0,85,1,22.3047,39.1035833,2022-04-06T16:10:25.000Z
0.0,274,1,22.3047,39.1035833,2022-04-06T16:40:25.000Z
0.0,148,1,22.3047,39.1035833,2022-04-06T17:10:25.000Z
0.0,51,1,22.3046833,39.1036167,2022-04-06T17:40:25.000Z
0.0,34,1,22.3047,39.1035667,2022-04-06T18:10:25.000Z
0.0,251,1,22.3046833,39.1036,2022-04-06T18:40:25.000Z
0.0,148,1,22.3046833,39.1036167,2022-04-06T19:10:25.000Z
0.0,251,1,22.3047,39.1035833,2022-04-06T19:40:25.000Z
0.0,245,1,22.30465,39.1036,2022-04-06T20:10:25.000Z
0.0,125,1,22.3047167,39.1035833,2022-04-06T20:40:25.000Z
0.0,200,1,22.3047,39.1036,2022-04-06T21:10:25.000Z
0.0,108,1,22.3047,39.1036,2022-04-06T21:40:25.000Z
0.0,114,1,22.3047167,39.1036,2022-04-06T22:10:25.000Z
0.0,85,1,22.3047,39.1035333,2022-04-06T22:40:25.000Z
0.0,108,1,22.3046833,39.1035333,2022-04-06T23:10:25.000Z
0.0,165,1,22.3046833,39.10355,2022-04-06T23:40:25.000Z
0.0,142,1,22.3047,39.1035667,2022-04-07T00:10:25.000Z
0.0,182,1,22.3046833,39.1035667,2022-04-07T00:40:25.000Z
0.0,142,1,22.3046667,39.1035667,2022-04-07T01:10:25.000Z
0.0,102,1,22.30465,39.1036,2022-04-07T01:40:25.000Z
0.0,154,1,22.3046833,39.1035833,2022-04-07T02:10:25.000Z
0.0,154,1,22.3046667,39.1035833,2022-04-07T02:40:25.000Z
0.0,22,1,22.30465,39.1035667,2022-04-07T03:10:25.000Z
0.0,342,1,22.3046667,39.1035667,2022-04-07T03:40:25.000Z
0.0,120,1,22.30465,39.1035833,2022-04-07T04:10:25.000Z
0.0,200,1,22.3046333,39.1035667,2022-04-07T04:40:25.000Z
0.0,251,1,22.3046167,39.1035667,2022-04-07T05:10:25.000Z
0.0,165,1,22.3046333,39.1036,2022-04-07T05:40:25.000Z
0.0,125,1,22.3046333,39.1036,2022-04-07T06:10:25.000Z
